date,time,address,type,neighborhood,npu,x,y
01/01/2015,00:00:00                      ,3699 BAKERS FERRY RD SW @ADAMSVILLE HEALTH C,BURGLARY-NONRES,Adamsville,H,-84.50966,33.76078
01/01/2015,00:00:00                      ,2524 MARTIN L KING JR DR SW,LARCENY-FROM VEHICLE,Harland Terrace,I,-84.47033,33.75285
01/01/2015,00:00:00                      ,977 N EUGENIA PL NW,BURGLARY-NONRES,Grove Park,J,-84.45143,33.78154
01/01/2015,00:00:00                      ,424 HILLSIDE VILLAGE DR SE,AUTO THEFT,The Villages at East Lake,O,-84.31465,33.74058
01/01/2015,00:01:00                      ,1133 HUFF RD NW,LARCENY-NON VEHICLE,Blandtown,D,-84.42518,33.78909
01/01/2015,00:01:00                      ,4213 PEACHTREE PARK DR NE,LARCENY-NON VEHICLE,NULL,E,-84.38965,33.81384
01/01/2015,00:01:00                      ,2600 OLD HAPEVILLE RD SW,LARCENY-NON VEHICLE,Browns Mill Park,Z,-84.3932,33.6837
01/01/2015,00:03:00                      ,880 GLENWOOD AVE SE,ROBBERY-PEDESTRIAN,Grant Park,W,-84.35917,33.73991
01/01/2015,00:05:00                      ,945 RALPH D ABERNATHY BLVD SW,LARCENY-NON VEHICLE,West End,T,-84.41868,33.73835
01/01/2015,00:30:00                      ,765 MCDANIEL ST SW,AUTO THEFT,Pittsburgh,V,-84.40177,33.73396
01/01/2015,00:30:00                      ,415 FAIRBURN RD SW,AGG ASSAULT,Fairburn Mays,H,-84.50968,33.74349
01/01/2015,01:00:00                      ,868 JOSEPH E BOONE BLVD NW,LARCENY-FROM VEHICLE,Vine City,L,-84.41612,33.76319
01/01/2015,01:30:00                      ,1150 CRESCENT AVE NE,LARCENY-NON VEHICLE,Midtown,E,-84.38437,33.78601
01/01/2015,01:50:00                      ,1231 CAMPBELLTON PL SW,AGG ASSAULT,Oakland City,S,-84.42831,33.71759
01/01/2015,02:00:00                      ,1700 HOWELL MILL ROAD,ROBBERY-PEDESTRIAN,Underwood Hills,D,-84.41623,33.80076
